left,right
ay_001,ee_001
ay_001,ee_002
ay_001,ee_003
ay_001,ee_004
ay_001,ee_005
ay_001,ee_006
ay_001,ee_007
ay_001,ee_008
ay_001,ee_009
ay_002,ay_003
ay_002,ay_004
ay_002,ay_005
ay_002,ay_006
ay_002,ay_007
ay_002,ay_008
ay_002,ay_009
ay_002,az_000
ay_002,az_001
ay_002,az_002
ay_002,az_003
ay_002,az_004
ay_002,az_005
ay_002,az_006
ay_002,az_007
ay_002,az_008
ay_002,az_009
ay_002,ee_000
ay_002,ee_001
ay_002,ee_002
ay_002,ee_003
ay_002,ee_004
ay_002,ee_005
ay_002,ee_006
ay_002,ee_007
ay_002,ee_008
ay_002,ee_009
ay_003,ay_004
ay_003,ay_005
ay_003,ay_006
ay_003,ay_007
ay_003,ay_008
ay_003,ay_009
ay_003,az_000
ay_003,az_001
ay_003,az_002
ay_003,az_003
ay_003,az_004
ay_003,az_005
ay_003,az_006
ay_003,az_007
ay_003,az_008
ay_003,az_009
ay_003,ee_000
ay_003,ee_001
ay_003,ee_002
ay_003,ee_003
ay_003,ee_004
ay_003,ee_005
ay_003,ee_006
ay_003,ee_007
ay_003,ee_008
ay_003,ee_009
ay_004,ay_005
ay_004,ay_006
ay_004,ay_007
ay_004,ay_008
ay_004,ay_009
ay_004,az_000
ay_004,az_001
ay_004,az_002
ay_004,az_003
ay_004,az_004
ay_004,az_005
ay_004,az_006
ay_004,az_007
ay_004,az_008
ay_004,az_009
ay_004,ee_000
ay_004,ee_001
ay_004,ee_002
ay_004,ee_003
ay_004,ee_004
ay_004,ee_005
ay_004,ee_006
ay_004,ee_007
ay_004,ee_008
ay_004,ee_009
ay_005,ay_006
ay_005,ay_007
ay_005,ay_008
ay_005,ay_009
ay_005,az_000
ay_005,az_001
ay_005,az_002
ay_005,az_003
ay_005,az_004
ay_005,az_005
ay_005,az_006
ay_005,az_007
ay_005,az_008
ay_005,az_009
ay_005,ee_000
ay_005,ee_001
ay_005,ee_002
ay_005,ee_003
ay_005,ee_004
ay_005,ee_005
ay_005,ee_006
ay_005,ee_007
ay_005,ee_008
ay_005,ee_009
ay_006,ay_007
ay_006,ay_008
ay_006,ay_009
ay_006,az_000
ay_006,az_001
ay_006,az_002
ay_006,az_003
ay_006,az_004
ay_006,az_005
ay_006,az_006
ay_006,az_007
ay_006,az_008
ay_006,az_009
ay_006,ee_000
ay_006,ee_001
ay_006,ee_002
ay_006,ee_003
ay_006,ee_004
ay_006,ee_005
ay_006,ee_006
ay_006,ee_007
ay_006,ee_008
ay_006,ee_009
ay_007,ay_008
ay_007,ay_009
ay_007,az_000
ay_007,az_001
ay_007,az_002
ay_007,az_003
ay_007,az_004
ay_007,az_005
ay_007,az_006
ay_007,az_007
ay_007,az_008
ay_007,az_009
ay_007,ee_000
ay_007,ee_001
ay_007,ee_002
ay_007,ee_003
ay_007,ee_004
ay_007,ee_005
ay_007,ee_006
ay_007,ee_007
ay_007,ee_008
ay_007,ee_009
ay_008,ay_009
ay_008,az_000
ay_008,az_001
ay_008,az_002
ay_008,az_003
ay_008,az_004
ay_008,az_005
ay_008,az_006
ay_008,az_007
ay_008,az_008
ay_008,az_009
ay_008,ee_000
ay_008,ee_001
ay_008,ee_002
ay_008,ee_003
ay_008,ee_004
ay_008,ee_005
ay_008,ee_006
ay_008,ee_007
ay_008,ee_008
ay_008,ee_009
ay_009,az_000
ay_009,az_001
ay_009,az_002
ay_009,az_003
ay_009,az_004
ay_009,az_005
ay_009,az_006
ay_009,az_007
ay_009,az_008
ay_009,az_009
ay_009,ee_000
ay_009,ee_001
ay_009,ee_002
ay_009,ee_003
ay_009,ee_004
ay_009,ee_005
ay_009,ee_006
ay_009,ee_007
ay_009,ee_008
ay_009,ee_009
az_000,az_001
az_000,az_002
az_000,az_003
az_000,az_004
az_000,az_005
az_000,az_006
az_000,az_007
az_000,az_008
az_000,az_009
az_000,ee_000
az_000,ee_001
az_000,ee_002
az_000,ee_003
az_000,ee_004
az_000,ee_005
az_000,ee_006
az_000,ee_007
az_000,ee_008
az_000,ee_009
az_001,az_002
az_001,az_003
az_001,az_004
az_001,az_005
az_001,az_006
az_001,az_007
az_001,az_008
az_001,az_009
az_001,ee_000
az_001,ee_001
az_001,ee_002
az_001,ee_003
az_001,ee_004
az_001,ee_005
az_001,ee_006
az_001,ee_007
az_001,ee_008
az_001,ee_009
az_002,az_003
az_002,az_004
az_002,az_005
az_002,az_006
az_002,az_007
az_002,az_008
az_002,az_009
az_002,ee_000
az_002,ee_001
az_002,ee_002
az_002,ee_003
az_002,ee_004
az_002,ee_005
az_002,ee_006
az_002,ee_007
az_002,ee_008
az_002,ee_009
az_003,az_004
az_003,az_005
az_003,az_006
az_003,az_007
az_003,az_008
az_003,az_009
az_003,ee_000
az_003,ee_001
az_003,ee_002
az_003,ee_003
az_003,ee_004
az_003,ee_005
az_003,ee_006
az_003,ee_007
az_003,ee_008
az_003,ee_009
az_004,az_005
az_004,az_006
az_004,az_007
az_004,az_008
az_004,az_009
az_004,ee_000
az_004,ee_001
az_004,ee_002
az_004,ee_003
az_004,ee_004
az_004,ee_005
az_004,ee_006
az_004,ee_007
az_004,ee_008
az_004,ee_009
az_005,az_006
az_005,az_007
az_005,az_008
az_005,az_009
az_005,ee_000
az_005,ee_001
az_005,ee_002
az_005,ee_003
az_005,ee_004
az_005,ee_005
az_005,ee_006
az_005,ee_007
az_005,ee_008
az_005,ee_009
az_006,az_007
az_006,az_008
az_006,az_009
az_006,ee_000
az_006,ee_001
az_006,ee_002
az_006,ee_003
az_006,ee_004
az_006,ee_005
az_006,ee_006
az_006,ee_007
az_006,ee_008
az_006,ee_009
az_007,az_008
az_007,az_009
az_007,ee_000
az_007,ee_001
az_007,ee_002
az_007,ee_003
az_007,ee_004
az_007,ee_005
az_007,ee_006
az_007,ee_007
az_007,ee_008
az_007,ee_009
az_008,az_009
az_008,ee_000
az_008,ee_001
az_008,ee_002
az_008,ee_003
az_008,ee_004
az_008,ee_005
az_008,ee_006
az_008,ee_007
az_008,ee_008
az_008,ee_009
az_009,ee_000
az_009,ee_001
az_009,ee_002
az_009,ee_003
az_009,ee_004
az_009,ee_005
az_009,ee_006
az_009,ee_007
az_009,ee_008
az_009,ee_009
ba_000,ba_001
ba_000,ba_002
ba_000,ba_003
ba_000,ba_004
ba_000,ba_005
ba_000,ba_006
ba_000,ba_007
ba_000,ba_008
ba_000,ba_009
ba_001,ba_002
ba_001,ba_003
ba_001,ba_004
ba_001,ba_005
ba_001,ba_006
ba_001,ba_007
ba_001,ba_008
ba_001,ba_009
ba_002,ba_003
ba_002,ba_004
ba_002,ba_005
ba_002,ba_006
ba_002,ba_007
ba_002,ba_008
ba_002,ba_009
ba_003,ba_004
ba_003,ba_005
ba_003,ba_006
ba_003,ba_007
ba_003,ba_008
ba_003,ba_009
ba_004,ba_005
ba_004,ba_006
ba_004,ba_007
ba_004,ba_008
ba_004,ba_009
ba_005,ba_006
ba_005,ba_007
ba_005,ba_008
ba_005,ba_009
ba_006,ba_007
ba_006,ba_008
ba_006,ba_009
ba_007,ba_008
ba_007,ba_009
ba_008,ba_009
bg_000,bh_000
bi_000,bj_000
bs_000,cb_000
bu_000,bv_000
bu_000,cq_000
bu_000,dn_000
bv_000,cq_000
bv_000,dn_000
bz_000,cp_000
bz_000,dx_000
bz_000,dy_000
bz_000,dz_000
bz_000,ea_000
bz_000,ef_000
bz_000,eg_000
cf_000,cg_000
cf_000,ch_000
cf_000,co_000
cg_000,ch_000
cg_000,co_000
ch_000,co_000
ci_000,cj_000
ci_000,ck_000
cj_000,ck_000
cl_000,ed_000
cn_000,cn_001
cn_000,cn_002
cn_000,cn_003
cn_000,cn_004
cn_000,cn_005
cn_000,cn_006
cn_000,cn_007
cn_000,cn_008
cn_000,cn_009
cn_001,cn_002
cn_001,cn_003
cn_001,cn_004
cn_001,cn_005
cn_001,cn_006
cn_001,cn_007
cn_001,cn_008
cn_001,cn_009
cn_002,cn_003
cn_002,cn_004
cn_002,cn_005
cn_002,cn_006
cn_002,cn_007
cn_002,cn_008
cn_002,cn_009
cn_003,cn_004
cn_003,cn_005
cn_003,cn_006
cn_003,cn_007
cn_003,cn_008
cn_003,cn_009
cn_004,cn_005
cn_004,cn_006
cn_004,cn_007
cn_004,cn_008
cn_004,cn_009
cn_005,cn_006
cn_005,cn_007
cn_005,cn_008
cn_005,cn_009
cn_006,cn_007
cn_006,cn_008
cn_006,cn_009
cn_007,cn_008
cn_007,cn_009
cn_008,cn_009
cp_000,dx_000
cp_000,dy_000
cp_000,dz_000
cp_000,ea_000
cp_000,ef_000
cp_000,eg_000
cq_000,dn_000
cs_000,cs_001
cs_000,cs_002
cs_000,cs_003
cs_000,cs_004
cs_000,cs_005
cs_000,cs_006
cs_000,cs_007
cs_000,cs_008
cs_000,cs_009
cs_001,cs_002
cs_001,cs_003
cs_001,cs_004
cs_001,cs_005
cs_001,cs_006
cs_001,cs_007
cs_001,cs_008
cs_001,cs_009
cs_002,cs_003
cs_002,cs_004
cs_002,cs_005
cs_002,cs_006
cs_002,cs_007
cs_002,cs_008
cs_002,cs_009
cs_003,cs_004
cs_003,cs_005
cs_003,cs_006
cs_003,cs_007
cs_003,cs_008
cs_003,cs_009
cs_004,cs_005
cs_004,cs_006
cs_004,cs_007
cs_004,cs_008
cs_004,cs_009
cs_005,cs_006
cs_005,cs_007
cs_005,cs_008
cs_005,cs_009
cs_006,cs_007
cs_006,cs_008
cs_006,cs_009
cs_007,cs_008
cs_007,cs_009
cs_008,cs_009
ct_000,cu_000
ct_000,cv_000
ct_000,cx_000
ct_000,cy_000
ct_000,cz_000
ct_000,da_000
ct_000,db_000
ct_000,dc_000
cu_000,cv_000
cu_000,cx_000
cu_000,cy_000
cu_000,cz_000
cu_000,da_000
cu_000,db_000
cu_000,dc_000
cv_000,cx_000
cv_000,cy_000
cv_000,cz_000
cv_000,da_000
cv_000,db_000
cv_000,dc_000
cx_000,cy_000
cx_000,cz_000
cx_000,da_000
cx_000,db_000
cx_000,dc_000
cy_000,cz_000
cy_000,da_000
cy_000,db_000
cy_000,dc_000
cz_000,da_000
cz_000,db_000
cz_000,dc_000
da_000,db_000
da_000,dc_000
db_000,dc_000
dg_000,dm_000
dh_000,dj_000
dh_000,dl_000
dh_000,eb_000
dj_000,dl_000
dj_000,eb_000
dl_000,eb_000
dp_000,dq_000
dr_000,ds_000
dr_000,dt_000
dr_000,du_000
dr_000,dv_000
ds_000,dt_000
ds_000,du_000
ds_000,dv_000
dt_000,du_000
dt_000,dv_000
du_000,dv_000
dx_000,dy_000
dx_000,dz_000
dx_000,ea_000
dx_000,ef_000
dx_000,eg_000
dy_000,dz_000
dy_000,ea_000
dy_000,ef_000
dy_000,eg_000
dz_000,ea_000
dz_000,ef_000
dz_000,eg_000
ea_000,ef_000
ea_000,eg_000
ee_000,ee_001
ee_000,ee_002
ee_000,ee_003
ee_000,ee_004
ee_000,ee_005
ee_000,ee_006
ee_000,ee_007
ee_000,ee_008
ee_000,ee_009
ee_001,ee_002
ee_001,ee_003
ee_001,ee_004
ee_001,ee_005
ee_001,ee_006
ee_001,ee_007
ee_001,ee_008
ee_001,ee_009
ee_002,ee_003
ee_002,ee_004
ee_002,ee_005
ee_002,ee_006
ee_002,ee_007
ee_002,ee_008
ee_002,ee_009
ee_003,ee_004
ee_003,ee_005
ee_003,ee_006
ee_003,ee_007
ee_003,ee_008
ee_003,ee_009
ee_004,ee_005
ee_004,ee_006
ee_004,ee_007
ee_004,ee_008
ee_004,ee_009
ee_005,ee_006
ee_005,ee_007
ee_005,ee_008
ee_005,ee_009
ee_006,ee_007
ee_006,ee_008
ee_006,ee_009
ee_007,ee_008
ee_007,ee_009
ee_008,ee_009
ef_000,eg_000
